S:['b9', 'm1', 'j1', 'p7', 'v5', 's5', 'a0', 't7', 'x1', 'r7', 'r2', 'c2', 'g1', 'q7', 'u8', 'w8', 'o8', 't5', 'j9', 'j8', 'c1', 'e0', 'd1', 'b7', 'l0', 'w0', 'k8', 'r9', 'i2', 'g5', 'c0', 'c6']
S:['c6', 'u5', 'k0', 'g5', 'a2', 'y9', 't5', 'a0', 'r0', 'f1', 'm9', 't3', 'o6', 'g3', 'j2', 'w8', 'q7', 'r2', 'a9', 'd1', 'z4', 'm7', 'u1', 'x2', 'c7', 'g6', 'e3', 'p7', 'z8', 'z6', 't8', 'l8']
R:['i8', 'o5', 'e4', 's3', 'a6', 'v6', 'n5', 'a8', 'k7', 'm1', 'd6', 'e6', 't2', 'z6', 'j4', 'a9', 'e9', 'd7', 'x3', 'x7', 'e2', 'q1', 'o7', 'h4', 'l7', 'k6', 'h0', 'r7', 'w7', 'm0', 'v7', 'h1']
S:['a7', 'z3', 'v7', 'y6', 'l3', 'h0', 'n9', 'p7', 'h5', 'j1', 'k5', 'z0', 'r4', 'm2', 'f5', 'r5', 'e6', 'w7', 'o5', 'u6', 'a8', 'p6', 'w5', 's2', 'l6', 'o9', 'd3', 't1', 's3', 'q1', 'q5', 'a9']
R:['b2', 'i5', 'o2', 'o1', 'x2', 'k0', 'z9', 'h4', 'w6', 'm9', 'a5', 's5', 'g2', 'h0', 'q6', 'u9', 'k9', 'c2', 'k7', 'e6', 'j3', 'q5', 'g9', 'g1', 'l2', 'v2', 'p9', 'p8', 'r3', 'r5', 'o4', 'h8']
S:['a1', 'x6', 'b3', 'n1', 'i9', 'v1', 's9', 'm3', 'i8', 'w1', 'b2', 'z8', 'f7', 'v7', 'g0', 'q4', 'w6', 'f0', 'w3', 'o2', 'y3', 'c8', 'y1', 'u5', 'z6', 'i0', 'c0', 'n0', 'l2', 'q8', 'l6', 'd2']
R:['b3', 'n0', 'w2', 'o3', 'h0', 'q4', 'w7', 's9', 'e2', 'q6', 'i5', 'f9', 'b7', 'm4', 'q9', 'e1', 'u4', 'y9', 'q3', 'i1', 'd6', 'g9', 'h1', 'b4', 'f8', 'f5', 'r7', 'p8', 'u6', 'q8', 'r0', 'w6']
S:['o5', 'z6', 'v0', 'o9', 'r8', 'j2', 'j5', 's3', 'o0', 'm2', 'u1', 's2', 'd1', 'z9', 'f7', 'r9', 'i6', 'u4', 'x4', 'e3', 'u0', 'a8', 'f0', 'v3', 'm9', 'd8', 'l1', 'n9', 'a5', 'y8', 'm7', 'c6']
R:['t5', 'q3', 't2', 'k7', 'g2', 's5', 'q5', 'k1', 'a8', 'i1', 't6', 'm1', 'm0', 'm5', 'e4', 'a9', 'r3', 'v7', 'y2', 'j2', 'c7', 'z1', 'p4', 'd7', 'k4', 'd5', 'o1', 'v2', 'n9', 'h4', 'h5', 'd6']
S:['i8', 'u2', 'd9', 'j8', 'b0', 'w1', 'v6', 'f3', 'z2', 'v4', 'c9', 'v8', 'k4', 'c6', 'n7', 'w3', 'z5', 'l0', 'k1', 'a5', 'i5', 's8', 'f7', 'n5', 'w7', 'o8', 'u3', 'm2', 'x4', 't3', 'f4', 'c2']
R:['l8', 'i2', 'i7', 'q5', 'c1', 'w2', 'o2', 'f8', 'd2', 'x5', 'f5', 'r8', 'd0', 'q4', 'z9', 'c2', 'w6', 'v4', 'd7', 'd5', 'g9', 'z7', 's7', 'm1', 'd8', 'h4', 'f4', 'e5', 'r3', 'k5', 'b3', 'k9']
S:['n1', 's0', 'k0', 'z7', 'm7', 'p8', 'g3', 'h6', 'f0', 'k6', 'x3', 's1', 'b5', 't5', 'n6', 'g5', 'g9', 'z6', 'd7', 'q7', 'b2', 't7', 'g1', 't8', 'v7', 'b9', 'x0', 'h7', 'd0', 'j3', 'q4', 'p0']
R:['t6', 'w6', 'e9', 'x7', 'u5', 'h7', 'q5', 'x9', 't2', 'l8', 'w7', 'k9', 'o7', 'c9', 'w2', 'h0', 'h1', 'l7', 'd6', 'p9', 'e5', 'q3', 'e2', 's3', 'b4', 's6', 'o2', 'n8', 'r5', 'z1', 'd7', 'd4']
S:['k4', 'c2', 'u8', 'l4', 'k6', 'k9', 'k5', 'q3', 'g6', 'v0', 'x7', 'k0', 'k7', 'f8', 'j5', 'l6', 'x6', 's0', 'e8', 'f0', 't7', 'b9', 'q8', 't9', 'j4', 'r9', 'y5', 'k1', 'o9', 'e6', 'd3', 'h7']
R:['a9', 'e7', 'p0', 's3', 'o1', 'z8', 'x3', 'd0', 'l6', 'q3', 'd7', 'b3', 'i5', 'g0', 'b8', 'p9', 'i0', 'e5', 'm9', 'r7', 'k5', 'p8', 'k7', 't5', 'l8', 'm3', 'a5', 'j3', 'r5', 'v7', 'i7', 'o8']
S:['a9', 's1', 'l7', 'n7', 'b1', 'g0', 'p4', 'i9', 'm9', 'g5', 'a7', 'c7', 'v8', 'j0', 'c5', 'g6', 'l6', 't2', 'w5', 'z1', 'l9', 'h1', 'e4', 'm8', 'r8', 'o4', 'd3', 'x7', 'i5', 'p0', 'p1', 'e1']
R:['h8', 'q8', 'f5', 'w6', 'y5', 'k7', 'v7', 'i5', 'o2', 'p6', 'w2', 'f3', 'h4', 'd2', 'x2', 'z1', 'd7', 'l6', 'd9', 't5', 'x9', 's0', 'b7', 'o3', 'b5', 'x3', 'm5', 'k9', 'n7', 'w5', 'q6', 'v2']
S:['d9', 'q1', 's4', 'x8', 'g6', 'a9', 'p2', 'p9', 'd2', 'h1', 'h7', 'm2', 'c7', 'u7', 'e8', 'f3', 'z9', 'n6', 'c6', 'r1', 'c3', 'l4', 'k2', 'v4', 'g5', 'e3', 's1', 'g0', 'r2', 'l3', 'n1', 'e0']
R:['t7', 'h8', 'r4', 'r0', 'u1', 'y0', 'x3', 'd9', 'o3', 'h0', 'l8', 'q5', 'v8', 'd7', 'i5', 'h4', 'l2', 'd2', 'q0', 'n1', 'q6', 'f5', 'e2', 'p4', 'y9', 'a6', 'i7', 's8', 'm0', 'm1', 'k6', 'm3']
S:['f3', 'u4', 'y4', 'z9', 'o3', 'q8', 'e1', 'm3', 'k6', 'c4', 'd1', 'o4', 'b8', 'b6', 'd5', 'g1', 'z4', 'y3', 'q3', 'n5', 'r8', 'v0', 'h5', 'p3', 's2', 'c9', 'x0', 'l7', 'w7', 'b4', 'y2', 'x9']
R:['k3', 't5', 'k4', 'w8', 'f4', 'a1', 'w5', 'i1', 'a8', 't3', 'd8', 'o2', 'n0', 'l8', 'i0', 'w3', 'h7', 'w7', 'j1', 'c9', 'r5', 'a9', 'r6', 'r3', 'q9', 'p5', 't6', 'j4', 'i5', 'n2', 'b8', 'd5']
S:['y0', 'g7', 'c1', 'q6', 'r3', 'i3', 'o1', 'j6', 'p1', 'n5', 'j8', 'o7', 'c9', 'h8', 'y3', 'i0', 'c2', 'e4', 'l4', 'v2', 'j2', 't5', 'm8', 'x6', 's9', 'n1', 'k9', 'w3', 'h4', 'z8', 'z3', 'g9']
R:['c4', 'x9', 'w8', 'n9', 'l8', 'q9', 'o1', 'w5', 'd2', 'k4', 'x3', 'g5', 'j4', 'h4', 'u2', 'z9', 't0', 'l4', 'w6', 'c2', 'b2', 'e6', 'w2', 'd9', 'i5', 't3', 't2', 'u0', 'f8', 'f4', 'd5', 'k5']
S:['p1', 'w0', 'q5', 'f0', 'h2', 'v5', 'k4', 'p6', 'e6', 'n2', 'a6', 'q6', 'c3', 'a8', 'n9', 'x4', 'c7', 'r3', 's0', 'e8', 't1', 'z8', 'q3', 'o3', 'h9', 'h4', 'o1', 'c6', 'w5', 'i8', 'd1', 'p2']
R:['t0', 'h7', 'a8', 't6', 'n1', 'v6', 'm2', 'm5', 'w5', 'd6', 'a1', 'z5', 't5', 'm9', 'y8', 'j5', 'q5', 'b3', 'a6', 'p9', 't9', 'b2', 'o3', 'k6', 'm3', 'd8', 'q4', 'y2', 'k4', 'e8', 't3', 'i7']
S:['h7', 'n5', 'e4', 'a9', 'l6', 'o7', 'r3', 'p0', 'n1', 'e3', 'j1', 'd9', 'u1', 'q5', 'n6', 'r6', 'a2', 'n3', 'x3', 'k3', 'l4', 'f5', 'p3', 's6', 't5', 'w5', 'w2', 'i1', 'b8', 'o3', 'd5', 'f2']
R:['e2', 'w0', 'd2', 'h8', 'y9', 'l4', 'r4', 'h1', 'h7', 'p0', 'x2', 'k9', 'm1', 'd6', 'o1', 'w9', 't2', 'z5', 'p5', 'z6', 'm0', 'w6', 'i5', 's6', 's7', 'b7', 'b2', 'w4', 'e5', 'v9', 'w5', 'c4']
S:['a7', 'y2', 'f3', 'z1', 'u6', 'n7', 'y3', 'p5', 's0', 'i2', 'f7', 'g6', 'y7', 'h1', 'z8', 'x5', 'i7', 'm2', 'w7', 'h5', 'm9', 'y4', 'e3', 'n6', 'c0', 'c7', 'w9', 'b5', 'y6', 'k6', 'q1', 'h2']
R:['h6', 'k0', 'o3', 'k9', 'o8', 'u9', 'n6', 'r3', 'z9', 'd2', 'f4', 'd9', 'l6', 'y2', 'a6', 'h4', 'l8', 'l3', 'w6', 'w2', 'k3', 'c9', 'n9', 'y9', 'r5', 'v6', 'e6', 'j3', 'v7', 'k6', 'm2', 'v2']
S:['e6', 'j6', 'f8', 'n2', 'e1', 'r3', 'r7', 'l6', 'q5', 'u7', 'h0', 'l7', 'o7', 'h7', 'd3', 'c5', 'f5', 'f1', 'q6', 'p2', 'x2', 'v0', 'r0', 'w7', 'p9', 'w5', 'k7', 'f9', 'x9', 'l0', 'd2', 'v6']
R:['s9', 'l8', 'a9', 'p8', 'w5', 'z1', 'z8', 'w8', 'i7', 'd5', 'f4', 'r3', 'k7', 'o7', 'l9', 'd2', 'p0', 'x2', 'a7', 'd8', 't6', 'd9', 'u8', 'v7', 's7', 's0', 'm9', 'v5', 'o3', 'x3', 'z5', 'r5']
S:['i2', 'b5', 'o6', 'c8', 'u5', 'u2', 'y9', 'h4', 's5', 'p0', 'f5', 'd3', 'm9', 'e0', 't2', 'o7', 'f3', 'u4', 'm3', 's2', 'y5', 'l9', 'v3', 'n1', 'v7', 'd7', 'r4', 'o8', 'g0', 'w5', 'l7', 'l2']
R:['e2', 'k8', 'p6', 'i4', 'u0', 'd7', 'v6', 'o8', 's0', 'p4', 'l8', 'y0', 'x7', 'd2', 'i1', 'z6', 'w6', 'k4', 'j1', 'q5', 'u4', 'o3', 'g1', 'x2', 'r8', 'l2', 'j4', 'j7', 'l4', 'd5', 'z5', 'd4']
S:['v8', 'f2', 'o1', 'f4', 'r9', 'k2', 'q8', 'c9', 'k9', 'v7', 'h8', 'n9', 'h6', 'p4', 'c0', 'c7', 'a8', 'p8', 'b7', 'g2', 'b2', 'd3', 'd0', 'u9', 'p9', 'h5', 'q1', 'j3', 'd4', 'e4', 'w0', 'l6']
R:['t5', 'm4', 'x3', 'z1', 'n6', 'o2', 'l3', 'g1', 'k7', 'y9', 'b7', 'l4', 'a5', 'x9', 'r0', 'a6', 'o8', 'h0', 'j3', 'h3', 't2', 'h7', 'q0', 'b8', 'l8', 'q6', 'q8', 'i1', 'x7', 'k9', 'd5', 's8']
S:['k5', 'c5', 'n2', 'g4', 'd3', 'x5', 'r9', 'm7', 'y7', 'j7', 's7', 'u9', 'w7', 'x1', 'e2', 'r6', 'l5', 'd2', 'f3', 'b3', 'y9', 'c3', 'i0', 'y2', 'l7', 'b8', 'h3', 'k6', 'd8', 'd4', 'k2', 'o8']
R:['i9', 'n3', 't7', 'p4', 'c9', 'n2', 'w6', 'z1', 'j3', 'i7', 'x6', 'e1', 'r5', 'g7', 'r8', 'u9', 'y7', 'x3', 'e2', 'b7', 'o3', 'n8', 'r4', 'k7', 'd5', 't3', 's5', 'y8', 'r3', 'm3', 'm1', 'a1']
S:['m5', 'c8', 'z8', 'g1', 'o9', 'r5', 'l4', 'x8', 'h8', 'a9', 'g4', 's4', 'n2', 'p4', 'j2', 'g8', 'r0', 'e4', 'o3', 'f9', 'n9', 'd7', 'q5', 'm7', 'q2', 'd2', 'c1', 'p1', 'b1', 'x2', 'w5', 's9']
R:['n8', 'j2', 'o2', 'b2', 'w2', 'd3', 't2', 'x2', 'd2', 'w8', 'l7', 's7', 'r5', 'p5', 'i1', 'd8', 'h0', 'k9', 'e4', 'l4', 'w6', 'y8', 'h9', 'q4', 'x9', 'z1', 'd7', 'i8', 'q6', 'h8', 'f8', 'v5']
S:['a2', 'a7', 'o2', 'i1', 'n4', 'l0', 'b6', 'h7', 'b1', 'w3', 'y7', 'r0', 'f2', 'o8', 'h5', 'c5', 'k0', 'h8', 't7', 'v4', 'k3', 'q2', 'x3', 'g2', 'f1', 'c7', 'e0', 'x2', 'y3', 'l7', 'a3', 'e9']
R:['p9', 'b3', 'h1', 'd3', 'k9', 'w4', 'd6', 'x3', 'c9', 'r5', 'l8', 's7', 'u9', 'q5', 'w3', 'i7', 'o2', 'y0', 'a6', 'i8', 'q8', 'v6', 'd2', 's6', 't3', 'b2', 'c2', 'h6', 'e1', 'w8', 'n0', 't2']
S:['m9', 'o9', 'e2', 'd7', 'h3', 'n6', 'w4', 'd8', 'c6', 'v1', 's2', 'o7', 'r3', 'n1', 'v3', 'z5', 'c4', 'j8', 'o8', 'f1', 'b4', 'a6', 's0', 'l4', 'u4', 'k4', 'f8', 'i4', 's1', 'p4', 'r9', 'l1']
R:['a9', 'g6', 'v6', 'v7', 'p5', 'y9', 'p4', 's5', 'p0', 'w2', 'z1', 't6', 'c9', 'o0', 'd5', 'l6', 'e4', 'i2', 'k6', 'c4', 'o7', 'h6', 'f4', 'n7', 'm4', 'j3', 'n5', 't2', 'w5', 'd2', 't5', 'h9']
S:['h3', 'k2', 'k5', 'm5', 'g8', 'y1', 'w0', 'z0', 'n3', 'l7', 's6', 'm4', 'v8', 'w3', 'u9', 'j6', 't5', 't4', 'd9', 'c6', 'x2', 's0', 'c5', 'f5', 'x3', 'c3', 'j5', 'a0', 'x6', 'f2', 'f6', 'u5']
R:['c3', 'i5', 'm9', 'u6', 'q5', 's8', 'n5', 'x7', 'j7', 'w2', 'f4', 'g7', 's0', 'k9', 'i7', 'k6', 'j8', 'e1', 'b7', 'm5', 'j2', 'o7', 'w0', 'v9', 'i1', 'f5', 'j6', 'z5', 'l6', 'p4', 'h1', 'o1']
S:['g8', 's1', 'w0', 'i1', 't6', 'l0', 's5', 'x4', 'o2', 'm2', 'l1', 'a7', 's9', 'j4', 'l2', 'k3', 'm7', 'i5', 'r3', 'f6', 'd9', 'c4', 'v2', 'v7', 'z5', 'g7', 'c3', 'd3', 'n6', 'w8', 'p7', 'c9']
R:['n8', 'q4', 'm4', 'c1', 'i7', 'e6', 'c9', 'd6', 'o3', 'w5', 'p5', 'f8', 'h4', 'z6', 'b7', 'a9', 'v2', 'y9', 't6', 'w6', 'b2', 'd7', 'x2', 'e1', 'q9', 'w7', 'o2', 'q5', 'e8', 'i8', 'm1', 'n9']
S:['q4', 'w2', 'p0', 'k6', 'y7', 'p3', 'h1', 'a8', 'x9', 'c7', 'u3', 'j3', 'w5', 'f2', 'o2', 'b4', 'g2', 'z4', 'u2', 'm3', 'p4', 'h6', 'z9', 'c5', 's7', 'h8', 'j2', 'j8', 'f6', 'l8', 'g6', 'p8']
R:['d8', 'e9', 'l6', 'd5', 't3', 't2', 'o2', 'k8', 't6', 's5', 'x7', 'l8', 'k3', 'u9', 't5', 'b4', 'e4', 'w7', 'c5', 'a6', 'y2', 'd9', 'f4', 'k9', 'i0', 'l3', 'o5', 'b7', 'v4', 'g7', 'u3', 'g0']
S:['h4', 'x8', 'o5', 'i2', 'j1', 'v3', 'k2', 'l9', 'e9', 'y6', 'j4', 'a5', 'p9', 'w7', 'x4', 't9', 'p4', 'a4', 'u3', 'm8', 'd2', 'j0', 'g0', 'b1', 'r5', 'b0', 'n8', 'l2', 'w2', 'j3', 'w8', 'e7']
R:['z7', 'p4', 'j7', 'r4', 'q8', 'q6', 'r0', 'r3', 'x7', 'q5', 'd7', 's8', 'i8', 'c2', 'z9', 'r7', 'h1', 'u0', 'u9', 'p6', 'k4', 'm9', 'b7', 'v4', 'l8', 'c5', 'o2', 'o3', 'p5', 'w2', 'h0', 'y5']
S:['r2', 'l5', 'k6', 'm4', 'm9', 'h7', 'w7', 'a7', 'g6', 'l4', 't6', 'm2', 'f3', 'h9', 'y4', 'q2', 'u7', 'p3', 'd6', 'c2', 'o3', 'd4', 'v2', 'e5', 'f4', 'l6', 'j2', 'f9', 't2', 'r0', 'e2', 'b3']
R:['a2', 'j8', 'e4', 'r4', 'z6', 'z9', 'k4', 't3', 'k5', 'i4', 'v7', 'd2', 'f5', 'z1', 'i8', 'h6', 'x3', 'h7', 'i9', 'b5', 'r5', 'w6', 'b7', 't7', 'g4', 'k9', 'p8', 'l8', 'h4', 'i7', 'd3', 'n9']
S:['o7', 'j9', 's3', 'f3', 'j7', 'v6', 'a3', 'y4', 'y6', 'k1', 'n7', 'l4', 'o8', 'w0', 'e4', 'a0', 'j8', 'a8', 'i9', 'o5', 'x1', 'r1', 'i4', 'b0', 'p6', 'c7', 'a4', 'g9', 'm6', 'n4', 'r0', 'm3']
R:['d5', 'v5', 'g2', 'a0', 'f4', 'h4', 'o7', 'd0', 'x3', 'k8', 'x6', 'r4', 'k4', 'l2', 'b2', 't5', 'n6', 'p9', 'l4', 'q6', 'm4', 'v6', 'i5', 'x9', 'j3', 'q8', 'v7', 'r8', 'q4', 'g5', 'x7', 'd7']
S:['a6', 'g2', 'x3', 'f4', 'e4', 'c3', 'u4', 'u6', 'h8', 'q4', 'g9', 'n7', 'e9', 'd1', 'p3', 'j3', 'v9', 'q3', 'n2', 'h7', 'l2', 's5', 'c9', 'h3', 'q5', 'u5', 'k1', 'q7', 'o5', 'b2', 'k4', 't6']
R:['a8', 'f5', 'y8', 'o3', 'i2', 'd0', 'v0', 'w9', 'r7', 'k9', 'n1', 'j4', 'q9', 't3', 'l8', 'a7', 'o7', 'p4', 'o0', 'l4', 'x9', 'q5', 't5', 'h2', 'u3', 'j3', 'r3', 'm1', 't8', 'h1', 'w2', 'h0']
S:['c0', 'i8', 'b0', 'm0', 'h9', 'l6', 'b4', 'e3', 'x3', 'q0', 'g2', 'z2', 'g4', 'i4', 'u1', 'z0', 'w2', 'o5', 'h1', 'z5', 'i0', 'h7', 'b6', 'n9', 'h5', 'a3', 'h4', 'q2', 'd0', 'w5', 'v1', 'p2']
R:['d9', 'w3', 'a2', 'w2', 'v0', 'd6', 'q8', 'i5', 'j2', 'w4', 'q5', 'c1', 'p9', 'y9', 'h0', 'x2', 'p8', 't8', 'p0', 's6', 'r5', 'o3', 'z7', 'n5', 'm2', 'u8', 'q4', 'b7', 'b3', 'x3', 'm5', 'm0']
S:['x7', 'i0', 'g3', 'p1', 'o3', 'q6', 'g2', 'a4', 'i2', 'c3', 'n9', 'r7', 'z0', 'l5', 'b4', 'a8', 'g1', 'b6', 'r3', 'e5', 'x4', 'j8', 'i8', 'z1', 'm5', 'm9', 'f8', 'f2', 'i9', 't3', 'u4', 'f7']
R:['f3', 'w3', 'q4', 'd7', 'q1', 'p4', 'p0', 'b7', 'v7', 'z1', 'm5', 'y2', 'q8', 'i7', 'i4', 't6', 'v2', 'o2', 't2', 't3', 'n6', 'e5', 't5', 'h7', 'k7', 'u3', 'w5', 'i1', 'c9', 'l2', 'd9', 'w6']
S:['x3', 'o8', 'v0', 'c4', 'n3', 'b2', 'h0', 'j3', 'j4', 'k0', 's4', 'a3', 'e4', 'q2', 's8', 's3', 'w4', 'g2', 'r1', 'w8', 'a2', 'x0', 'c2', 's5', 'l3', 'y1', 'd1', 'q3', 'k6', 'l0', 'e7', 'i5']
R:['s3', 'u0', 'w8', 'r6', 'h0', 'h6', 't5', 'a9', 's7', 'g5', 'x9', 'd7', 'o2', 'f3', 'p9', 'q6', 'q5', 'h1', 'l8', 'v9', 'a8', 'f8', 'q8', 'o3', 'k3', 'd8', 'd3', 'l2', 'k5', 'z6', 'i1', 'o7']
S:['k2', 'u8', 'm1', 'l6', 'l5', 'a0', 'v8', 'x9', 'u2', 't3', 'k6', 'o3', 'z5', 'p4', 'q9', 'f9', 'y4', 'm9', 'n5', 'k8', 'b6', 'f4', 'q6', 'r5', 'e6', 'g3', 'h1', 'y0', 'b2', 'm7', 'w3', 'w5']
R:['g0', 'b7', 'r5', 'g4', 'd8', 'd2', 't6', 'k7', 'k4', 'f5', 'c1', 'h7', 'a5', 'x7', 'o2', 'u6', 'i1', 'w3', 'g8', 's8', 'd7', 'z1', 'p8', 'q4', 'g5', 'f4', 'd9', 'i0', 't5', 't2', 'p4', 'i8']
S:['i0', 'b5', 's5', 'c2', 'r9', 'v2', 's2', 'v3', 'j2', 'y5', 'v0', 'i3', 'o7', 'b3', 'x9', 'u2', 'a1', 'v6', 's8', 'g1', 't2', 'u0', 'v5', 'p2', 'b0', 'b8', 'c9', 'b2', 'l5', 'm0', 'k4', 'l3']
R:['d7', 'h5', 'o2', 'b3', 'z1', 'b2', 'w4', 'x5', 'w2', 'q5', 'j1', 'a9', 'k5', 'i2', 'd2', 'j4', 'e2', 'w8', 'f9', 'i1', 'k4', 'u1', 'a1', 'p4', 'o8', 'd4', 'n1', 'x3', 'b5', 'd5', 't6', 'r8']
S:['g0', 'p8', 'k1', 'y2', 'i9', 'd1', 's5', 'c6', 'o2', 'g1', 't2', 'c4', 'h6', 'v3', 'w0', 'v8', 'r4', 'b4', 'k7', 'f3', 'y3', 'a4', 'c5', 'v5', 'y5', 'u5', 'n7', 't0', 'r1', 'q2', 't7', 'q0']
R:['k4', 'w8', 'l8', 'd3', 'b2', 't2', 'd2', 'n2', 'n0', 'w2', 'g7', 'o4', 'k6', 'o7', 'k9', 't6', 'a8', 'd0', 'z5', 't5', 'q5', 'b5', 'r7', 'q4', 'o8', 'z8', 'u5', 't8', 'e9', 'v7', 'o2', 'c6']
